order_id,transaction_date,item_id,item_name,category,price_kes
1,2025-05-06,F04,Chicken Wings,Fast Food,500
1,2025-05-06,F15,Ice Cream,Dessert,250
2,2025-04-22,F13,Chapati,Local,50
3,2025-06-02,F10,Chicken Biryani,Indian,550
3,2025-06-02,F11,Raita,Indian,100
3,2025-06-02,F12,Naan Bread,Indian,80
4,2025-06-02,F07,California Roll Sushi,Japanese,700
5,2025-01-24,F12,Naan Bread,Indian,80
5,2025-01-24,F14,Chocolate Cake,Dessert,300
6,2025-03-15,F05,Margherita Pizza,Italian,900
6,2025-03-15,F06,Garlic Bread,Italian,250
7,2025-04-29,F05,Margherita Pizza,Italian,900
7,2025-04-29,F06,Garlic Bread,Italian,250
8,2025-02-07,F12,Naan Bread,Indian,80
9,2025-06-22,F10,Chicken Biryani,Indian,550
9,2025-06-22,F11,Raita,Indian,100
9,2025-06-22,F12,Naan Bread,Indian,80
10,2025-03-22,F01,Beef Burger,Fast Food,450
10,2025-03-22,F15,Ice Cream,Dessert,250
11,2025-02-18,F04,Chicken Wings,Fast Food,500
11,2025-02-18,F05,Margherita Pizza,Italian,900
11,2025-02-18,F06,Garlic Bread,Italian,250
11,2025-02-18,F11,Raita,Indian,100
12,2025-04-05,F01,Beef Burger,Fast Food,450
12,2025-04-05,F02,French Fries,Fast Food,200
12,2025-04-05,F14,Chocolate Cake,Dessert,300
13,2025-01-29,F12,Naan Bread,Indian,80
13,2025-01-29,F15,Ice Cream,Dessert,250
13,2025-01-29,F03,Soda,Beverages,100
14,2025-02-07,F13,Chapati,Local,50
14,2025-02-07,F06,Garlic Bread,Italian,250
15,2025-04-23,F04,Chicken Wings,Fast Food,500
15,2025-04-23,F02,French Fries,Fast Food,200
15,2025-04-23,F15,Ice Cream,Dessert,250
16,2025-04-29,F05,Margherita Pizza,Italian,900
16,2025-04-29,F06,Garlic Bread,Italian,250
17,2025-01-16,F05,Margherita Pizza,Italian,900
17,2025-01-16,F06,Garlic Bread,Italian,250
17,2025-01-16,F03,Soda,Beverages,100
18,2025-03-16,F01,Beef Burger,Fast Food,450
18,2025-03-16,F02,French Fries,Fast Food,200
18,2025-03-16,F03,Soda,Beverages,100
19,2025-06-03,F09,Green Tea,Beverages,100
20,2025-03-17,F01,Beef Burger,Fast Food,450
20,2025-03-17,F04,Chicken Wings,Fast Food,500
20,2025-03-17,F05,Margherita Pizza,Italian,900
20,2025-03-17,F09,Green Tea,Beverages,100
21,2025-05-15,F05,Margherita Pizza,Italian,900
21,2025-05-15,F06,Garlic Bread,Italian,250
21,2025-05-15,F14,Chocolate Cake,Dessert,300
22,2025-03-17,F05,Margherita Pizza,Italian,900
23,2025-03-18,F01,Beef Burger,Fast Food,450
23,2025-03-18,F02,French Fries,Fast Food,200
24,2025-06-13,F04,Chicken Wings,Fast Food,500
24,2025-06-13,F02,French Fries,Fast Food,200
25,2025-01-25,F12,Naan Bread,Indian,80
25,2025-01-25,F01,Beef Burger,Fast Food,450
25,2025-01-25,F13,Chapati,Local,50
25,2025-01-25,F15,Ice Cream,Dessert,250
26,2025-06-16,F04,Chicken Wings,Fast Food,500
26,2025-06-16,F02,French Fries,Fast Food,200
26,2025-06-16,F03,Soda,Beverages,100
27,2025-02-03,F05,Margherita Pizza,Italian,900
27,2025-02-03,F14,Chocolate Cake,Dessert,300
27,2025-02-03,F09,Green Tea,Beverages,100
27,2025-02-03,F11,Raita,Indian,100
28,2025-03-30,F08,Miso Soup,Japanese,150
29,2025-05-19,F01,Beef Burger,Fast Food,450
29,2025-05-19,F08,Miso Soup,Japanese,150
29,2025-05-19,F13,Chapati,Local,50
30,2025-04-22,F07,California Roll Sushi,Japanese,700
30,2025-04-22,F08,Miso Soup,Japanese,150
30,2025-04-22,F09,Green Tea,Beverages,100
31,2025-02-16,F05,Margherita Pizza,Italian,900
31,2025-02-16,F15,Ice Cream,Dessert,250
31,2025-02-16,F04,Chicken Wings,Fast Food,500
31,2025-02-16,F06,Garlic Bread,Italian,250
32,2025-02-23,F10,Chicken Biryani,Indian,550
32,2025-02-23,F11,Raita,Indian,100
32,2025-02-23,F12,Naan Bread,Indian,80
33,2025-01-20,F07,California Roll Sushi,Japanese,700
33,2025-01-20,F08,Miso Soup,Japanese,150
33,2025-01-20,F14,Chocolate Cake,Dessert,300
34,2025-06-02,F11,Raita,Indian,100
34,2025-06-02,F07,California Roll Sushi,Japanese,700
34,2025-06-02,F10,Chicken Biryani,Indian,550
34,2025-06-02,F02,French Fries,Fast Food,200
34,2025-06-02,F15,Ice Cream,Dessert,250
35,2025-06-28,F15,Ice Cream,Dessert,250
35,2025-06-28,F02,French Fries,Fast Food,200
35,2025-06-28,F07,California Roll Sushi,Japanese,700
36,2025-02-24,F08,Miso Soup,Japanese,150
37,2025-06-07,F14,Chocolate Cake,Dessert,300
38,2025-02-09,F01,Beef Burger,Fast Food,450
38,2025-02-09,F02,French Fries,Fast Food,200
39,2025-01-23,F14,Chocolate Cake,Dessert,300
40,2025-06-15,F05,Margherita Pizza,Italian,900
40,2025-06-15,F06,Garlic Bread,Italian,250
41,2025-06-16,F01,Beef Burger,Fast Food,450
41,2025-06-16,F02,French Fries,Fast Food,200
41,2025-06-16,F03,Soda,Beverages,100
42,2025-04-07,F07,California Roll Sushi,Japanese,700
42,2025-04-07,F08,Miso Soup,Japanese,150
43,2025-05-14,F05,Margherita Pizza,Italian,900
43,2025-05-14,F06,Garlic Bread,Italian,250
44,2025-05-18,F14,Chocolate Cake,Dessert,300
45,2025-02-18,F05,Margherita Pizza,Italian,900
45,2025-02-18,F06,Garlic Bread,Italian,250
45,2025-02-18,F03,Soda,Beverages,100
46,2025-02-02,F01,Beef Burger,Fast Food,450
46,2025-02-02,F08,Miso Soup,Japanese,150
46,2025-02-02,F02,French Fries,Fast Food,200
46,2025-02-02,F07,California Roll Sushi,Japanese,700
47,2025-06-26,F11,Raita,Indian,100
47,2025-06-26,F13,Chapati,Local,50
48,2025-01-31,F01,Beef Burger,Fast Food,450
48,2025-01-31,F02,French Fries,Fast Food,200
48,2025-01-31,F03,Soda,Beverages,100
49,2025-01-06,F07,California Roll Sushi,Japanese,700
49,2025-01-06,F15,Ice Cream,Dessert,250
50,2025-05-04,F01,Beef Burger,Fast Food,450
50,2025-05-04,F02,French Fries,Fast Food,200
51,2025-01-21,F10,Chicken Biryani,Indian,550
51,2025-01-21,F06,Garlic Bread,Italian,250
51,2025-01-21,F08,Miso Soup,Japanese,150
52,2025-06-25,F10,Chicken Biryani,Indian,550
52,2025-06-25,F11,Raita,Indian,100
52,2025-06-25,F12,Naan Bread,Indian,80
53,2025-01-11,F04,Chicken Wings,Fast Food,500
53,2025-01-11,F02,French Fries,Fast Food,200
54,2025-04-09,F01,Beef Burger,Fast Food,450
54,2025-04-09,F12,Naan Bread,Indian,80
54,2025-04-09,F05,Margherita Pizza,Italian,900
54,2025-04-09,F02,French Fries,Fast Food,200
54,2025-04-09,F15,Ice Cream,Dessert,250
55,2025-01-30,F06,Garlic Bread,Italian,250
55,2025-01-30,F05,Margherita Pizza,Italian,900
55,2025-01-30,F11,Raita,Indian,100
55,2025-01-30,F15,Ice Cream,Dessert,250
56,2025-03-06,F10,Chicken Biryani,Indian,550
56,2025-03-06,F11,Raita,Indian,100
56,2025-03-06,F12,Naan Bread,Indian,80
56,2025-03-06,F14,Chocolate Cake,Dessert,300
57,2025-06-27,F05,Margherita Pizza,Italian,900
57,2025-06-27,F06,Garlic Bread,Italian,250
57,2025-06-27,F03,Soda,Beverages,100
58,2025-03-11,F07,California Roll Sushi,Japanese,700
58,2025-03-11,F08,Miso Soup,Japanese,150
58,2025-03-11,F09,Green Tea,Beverages,100
59,2025-06-07,F05,Margherita Pizza,Italian,900
59,2025-06-07,F06,Garlic Bread,Italian,250
60,2025-02-22,F13,Chapati,Local,50
60,2025-02-22,F12,Naan Bread,Indian,80
61,2025-01-15,F11,Raita,Indian,100
61,2025-01-15,F10,Chicken Biryani,Indian,550
61,2025-01-15,F05,Margherita Pizza,Italian,900
62,2025-01-24,F09,Green Tea,Beverages,100
62,2025-01-24,F12,Naan Bread,Indian,80
62,2025-01-24,F04,Chicken Wings,Fast Food,500
63,2025-03-13,F11,Raita,Indian,100
63,2025-03-13,F14,Chocolate Cake,Dessert,300
63,2025-03-13,F13,Chapati,Local,50
64,2025-05-28,F10,Chicken Biryani,Indian,550
64,2025-05-28,F11,Raita,Indian,100
64,2025-05-28,F12,Naan Bread,Indian,80
64,2025-05-28,F14,Chocolate Cake,Dessert,300
65,2025-06-02,F11,Raita,Indian,100
65,2025-06-02,F03,Soda,Beverages,100
65,2025-06-02,F15,Ice Cream,Dessert,250
66,2025-02-16,F15,Ice Cream,Dessert,250
67,2025-05-27,F05,Margherita Pizza,Italian,900
67,2025-05-27,F06,Garlic Bread,Italian,250
68,2025-03-14,F07,California Roll Sushi,Japanese,700
68,2025-03-14,F08,Miso Soup,Japanese,150
68,2025-03-14,F09,Green Tea,Beverages,100
69,2025-02-24,F01,Beef Burger,Fast Food,450
69,2025-02-24,F02,French Fries,Fast Food,200
69,2025-02-24,F03,Soda,Beverages,100
70,2025-06-12,F01,Beef Burger,Fast Food,450
70,2025-06-12,F02,French Fries,Fast Food,200
70,2025-06-12,F03,Soda,Beverages,100
71,2025-05-26,F15,Ice Cream,Dessert,250
71,2025-05-26,F12,Naan Bread,Indian,80
72,2025-06-21,F04,Chicken Wings,Fast Food,500
72,2025-06-21,F02,French Fries,Fast Food,200
73,2025-04-14,F04,Chicken Wings,Fast Food,500
73,2025-04-14,F02,French Fries,Fast Food,200
74,2025-03-08,F04,Chicken Wings,Fast Food,500
74,2025-03-08,F09,Green Tea,Beverages,100
74,2025-03-08,F13,Chapati,Local,50
74,2025-03-08,F14,Chocolate Cake,Dessert,300
75,2025-06-08,F07,California Roll Sushi,Japanese,700
75,2025-06-08,F08,Miso Soup,Japanese,150
75,2025-06-08,F09,Green Tea,Beverages,100
76,2025-05-15,F10,Chicken Biryani,Indian,550
76,2025-05-15,F11,Raita,Indian,100
76,2025-05-15,F12,Naan Bread,Indian,80
76,2025-05-15,F15,Ice Cream,Dessert,250
77,2025-02-02,F03,Soda,Beverages,100
77,2025-02-02,F13,Chapati,Local,50
77,2025-02-02,F12,Naan Bread,Indian,80
77,2025-02-02,F01,Beef Burger,Fast Food,450
78,2025-01-19,F10,Chicken Biryani,Indian,550
78,2025-01-19,F11,Raita,Indian,100
78,2025-01-19,F12,Naan Bread,Indian,80
78,2025-01-19,F03,Soda,Beverages,100
78,2025-01-19,F14,Chocolate Cake,Dessert,300
79,2025-06-22,F07,California Roll Sushi,Japanese,700
79,2025-06-22,F08,Miso Soup,Japanese,150
80,2025-06-25,F10,Chicken Biryani,Indian,550
80,2025-06-25,F11,Raita,Indian,100
80,2025-06-25,F12,Naan Bread,Indian,80
81,2025-04-23,F01,Beef Burger,Fast Food,450
81,2025-04-23,F13,Chapati,Local,50
82,2025-04-28,F13,Chapati,Local,50
82,2025-04-28,F01,Beef Burger,Fast Food,450
83,2025-01-01,F05,Margherita Pizza,Italian,900
83,2025-01-01,F08,Miso Soup,Japanese,150
84,2025-05-23,F01,Beef Burger,Fast Food,450
84,2025-05-23,F02,French Fries,Fast Food,200
85,2025-02-20,F04,Chicken Wings,Fast Food,500
85,2025-02-20,F02,French Fries,Fast Food,200
85,2025-02-20,F03,Soda,Beverages,100
86,2025-01-30,F04,Chicken Wings,Fast Food,500
86,2025-01-30,F10,Chicken Biryani,Indian,550
87,2025-04-25,F07,California Roll Sushi,Japanese,700
87,2025-04-25,F08,Miso Soup,Japanese,150
88,2025-04-27,F07,California Roll Sushi,Japanese,700
88,2025-04-27,F08,Miso Soup,Japanese,150
88,2025-04-27,F15,Ice Cream,Dessert,250
89,2025-06-26,F10,Chicken Biryani,Indian,550
89,2025-06-26,F03,Soda,Beverages,100
89,2025-06-26,F13,Chapati,Local,50
90,2025-03-26,F12,Naan Bread,Indian,80
90,2025-03-26,F15,Ice Cream,Dessert,250
91,2025-04-22,F15,Ice Cream,Dessert,250
92,2025-01-01,F01,Beef Burger,Fast Food,450
92,2025-01-01,F02,French Fries,Fast Food,200
93,2025-02-18,F04,Chicken Wings,Fast Food,500
93,2025-02-18,F12,Naan Bread,Indian,80
94,2025-02-28,F01,Beef Burger,Fast Food,450
94,2025-02-28,F02,French Fries,Fast Food,200
94,2025-02-28,F15,Ice Cream,Dessert,250
95,2025-05-12,F05,Margherita Pizza,Italian,900
95,2025-05-12,F03,Soda,Beverages,100
95,2025-05-12,F14,Chocolate Cake,Dessert,300
96,2025-06-01,F02,French Fries,Fast Food,200
96,2025-06-01,F05,Margherita Pizza,Italian,900
96,2025-06-01,F07,California Roll Sushi,Japanese,700
97,2025-02-24,F01,Beef Burger,Fast Food,450
97,2025-02-24,F02,French Fries,Fast Food,200
97,2025-02-24,F03,Soda,Beverages,100
97,2025-02-24,F12,Naan Bread,Indian,80
98,2025-06-01,F14,Chocolate Cake,Dessert,300
99,2025-03-18,F10,Chicken Biryani,Indian,550
99,2025-03-18,F11,Raita,Indian,100
99,2025-03-18,F12,Naan Bread,Indian,80
100,2025-03-16,F04,Chicken Wings,Fast Food,500
100,2025-03-16,F02,French Fries,Fast Food,200
100,2025-03-16,F03,Soda,Beverages,100
100,2025-03-16,F15,Ice Cream,Dessert,250
101,2025-05-05,F01,Beef Burger,Fast Food,450
101,2025-05-05,F02,French Fries,Fast Food,200
101,2025-05-05,F03,Soda,Beverages,100
101,2025-05-05,F15,Ice Cream,Dessert,250
102,2025-01-25,F05,Margherita Pizza,Italian,900
102,2025-01-25,F10,Chicken Biryani,Indian,550
103,2025-05-26,F13,Chapati,Local,50
104,2025-03-02,F07,California Roll Sushi,Japanese,700
104,2025-03-02,F08,Miso Soup,Japanese,150
104,2025-03-02,F15,Ice Cream,Dessert,250
105,2025-05-18,F10,Chicken Biryani,Indian,550
105,2025-05-18,F11,Raita,Indian,100
105,2025-05-18,F12,Naan Bread,Indian,80
106,2025-01-29,F08,Miso Soup,Japanese,150
106,2025-01-29,F05,Margherita Pizza,Italian,900
106,2025-01-29,F10,Chicken Biryani,Indian,550
107,2025-04-05,F03,Soda,Beverages,100
108,2025-01-09,F10,Chicken Biryani,Indian,550
108,2025-01-09,F11,Raita,Indian,100
108,2025-01-09,F12,Naan Bread,Indian,80
109,2025-06-07,F10,Chicken Biryani,Indian,550
109,2025-06-07,F11,Raita,Indian,100
109,2025-06-07,F12,Naan Bread,Indian,80
110,2025-05-27,F03,Soda,Beverages,100
110,2025-05-27,F07,California Roll Sushi,Japanese,700
110,2025-05-27,F01,Beef Burger,Fast Food,450
110,2025-05-27,F04,Chicken Wings,Fast Food,500
111,2025-03-14,F09,Green Tea,Beverages,100
111,2025-03-14,F04,Chicken Wings,Fast Food,500
111,2025-03-14,F06,Garlic Bread,Italian,250
112,2025-02-04,F07,California Roll Sushi,Japanese,700
112,2025-02-04,F08,Miso Soup,Japanese,150
112,2025-02-04,F14,Chocolate Cake,Dessert,300
113,2025-01-17,F06,Garlic Bread,Italian,250
113,2025-01-17,F14,Chocolate Cake,Dessert,300
114,2025-02-06,F04,Chicken Wings,Fast Food,500
114,2025-02-06,F02,French Fries,Fast Food,200
114,2025-02-06,F14,Chocolate Cake,Dessert,300
115,2025-02-15,F10,Chicken Biryani,Indian,550
115,2025-02-15,F11,Raita,Indian,100
115,2025-02-15,F12,Naan Bread,Indian,80
116,2025-06-29,F04,Chicken Wings,Fast Food,500
116,2025-06-29,F02,French Fries,Fast Food,200
116,2025-06-29,F03,Soda,Beverages,100
117,2025-03-27,F07,California Roll Sushi,Japanese,700
117,2025-03-27,F08,Miso Soup,Japanese,150
117,2025-03-27,F09,Green Tea,Beverages,100
117,2025-03-27,F14,Chocolate Cake,Dessert,300
118,2025-04-30,F04,Chicken Wings,Fast Food,500
118,2025-04-30,F02,French Fries,Fast Food,200
118,2025-04-30,F03,Soda,Beverages,100
119,2025-06-08,F04,Chicken Wings,Fast Food,500
119,2025-06-08,F02,French Fries,Fast Food,200
119,2025-06-08,F03,Soda,Beverages,100
119,2025-06-08,F14,Chocolate Cake,Dessert,300
120,2025-01-25,F05,Margherita Pizza,Italian,900
120,2025-01-25,F06,Garlic Bread,Italian,250
121,2025-04-04,F01,Beef Burger,Fast Food,450
121,2025-04-04,F02,French Fries,Fast Food,200
122,2025-02-21,F04,Chicken Wings,Fast Food,500
122,2025-02-21,F02,French Fries,Fast Food,200
123,2025-06-06,F04,Chicken Wings,Fast Food,500
123,2025-06-06,F02,French Fries,Fast Food,200
124,2025-06-08,F08,Miso Soup,Japanese,150
124,2025-06-08,F10,Chicken Biryani,Indian,550
124,2025-06-08,F13,Chapati,Local,50
124,2025-06-08,F03,Soda,Beverages,100
125,2025-02-04,F01,Beef Burger,Fast Food,450
125,2025-02-04,F02,French Fries,Fast Food,200
125,2025-02-04,F03,Soda,Beverages,100
126,2025-03-24,F07,California Roll Sushi,Japanese,700
126,2025-03-24,F08,Miso Soup,Japanese,150
127,2025-01-28,F14,Chocolate Cake,Dessert,300
127,2025-01-28,F11,Raita,Indian,100
127,2025-01-28,F09,Green Tea,Beverages,100
127,2025-01-28,F15,Ice Cream,Dessert,250
128,2025-04-09,F01,Beef Burger,Fast Food,450
128,2025-04-09,F08,Miso Soup,Japanese,150
128,2025-04-09,F12,Naan Bread,Indian,80
128,2025-04-09,F15,Ice Cream,Dessert,250
129,2025-04-25,F08,Miso Soup,Japanese,150
129,2025-04-25,F05,Margherita Pizza,Italian,900
129,2025-04-25,F03,Soda,Beverages,100
129,2025-04-25,F07,California Roll Sushi,Japanese,700
130,2025-03-02,F01,Beef Burger,Fast Food,450
130,2025-03-02,F11,Raita,Indian,100
130,2025-03-02,F05,Margherita Pizza,Italian,900
130,2025-03-02,F08,Miso Soup,Japanese,150
130,2025-03-02,F15,Ice Cream,Dessert,250
131,2025-03-28,F05,Margherita Pizza,Italian,900
131,2025-03-28,F15,Ice Cream,Dessert,250
132,2025-02-25,F01,Beef Burger,Fast Food,450
132,2025-02-25,F02,French Fries,Fast Food,200
132,2025-02-25,F03,Soda,Beverages,100
133,2025-02-02,F09,Green Tea,Beverages,100
133,2025-02-02,F11,Raita,Indian,100
134,2025-01-24,F05,Margherita Pizza,Italian,900
134,2025-01-24,F06,Garlic Bread,Italian,250
134,2025-01-24,F03,Soda,Beverages,100
135,2025-06-16,F02,French Fries,Fast Food,200
136,2025-03-15,F08,Miso Soup,Japanese,150
137,2025-05-23,F04,Chicken Wings,Fast Food,500
137,2025-05-23,F02,French Fries,Fast Food,200
137,2025-05-23,F03,Soda,Beverages,100
138,2025-04-06,F03,Soda,Beverages,100
138,2025-04-06,F06,Garlic Bread,Italian,250
139,2025-05-03,F05,Margherita Pizza,Italian,900
139,2025-05-03,F06,Garlic Bread,Italian,250
139,2025-05-03,F03,Soda,Beverages,100
140,2025-01-23,F01,Beef Burger,Fast Food,450
140,2025-01-23,F02,French Fries,Fast Food,200
140,2025-01-23,F03,Soda,Beverages,100
141,2025-04-03,F06,Garlic Bread,Italian,250
141,2025-04-03,F08,Miso Soup,Japanese,150
142,2025-04-03,F15,Ice Cream,Dessert,250
143,2025-04-02,F09,Green Tea,Beverages,100
143,2025-04-02,F02,French Fries,Fast Food,200
143,2025-04-02,F10,Chicken Biryani,Indian,550
143,2025-04-02,F12,Naan Bread,Indian,80
144,2025-05-03,F01,Beef Burger,Fast Food,450
144,2025-05-03,F02,French Fries,Fast Food,200
144,2025-05-03,F03,Soda,Beverages,100
145,2025-05-26,F01,Beef Burger,Fast Food,450
145,2025-05-26,F02,French Fries,Fast Food,200
145,2025-05-26,F03,Soda,Beverages,100
145,2025-05-26,F15,Ice Cream,Dessert,250
146,2025-02-10,F07,California Roll Sushi,Japanese,700
146,2025-02-10,F08,Miso Soup,Japanese,150
147,2025-04-18,F05,Margherita Pizza,Italian,900
147,2025-04-18,F06,Garlic Bread,Italian,250
148,2025-04-18,F05,Margherita Pizza,Italian,900
148,2025-04-18,F06,Garlic Bread,Italian,250
149,2025-04-12,F10,Chicken Biryani,Indian,550
149,2025-04-12,F07,California Roll Sushi,Japanese,700
149,2025-04-12,F01,Beef Burger,Fast Food,450
149,2025-04-12,F13,Chapati,Local,50
149,2025-04-12,F14,Chocolate Cake,Dessert,300
150,2025-03-01,F08,Miso Soup,Japanese,150
150,2025-03-01,F15,Ice Cream,Dessert,250
151,2025-01-12,F05,Margherita Pizza,Italian,900
